"R0000100","R0536300","R2569300","R3891300","R5473300","R7237000","S1552200","S2022000","S3822900","S5423000","S7525100","T0025400","T2020300","T3611000","T5211400","T6662800","T8134000","U0014500"
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,1,-4,2,2,2,2,2,2,2,-5,-5,2,2,2,2,2,2
3,2,-4,-4,2,2,2,2,2,-5,-5,-5,-5,1,-5,1,1,-5
4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
5,1,-4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
6,2,-4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
7,1,-4,-4,2,2,2,-5,-5,2,2,-5,-5,2,3,3,-5,3
8,2,2,2,2,2,2,2,2,2,2,2,-5,2,-5,2,-5,2
9,1,-4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3
10,1,-4,-4,-4,2,2,2,2,2,2,2,2,2,-5,-5,-5,-5
11,2,-4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
12,1,2,2,2,2,2,2,1,-5,2,2,2,2,2,2,2,2
13,1,-4,-4,-4,2,2,2,2,2,2,2,1,2,2,1,1,2
14,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,2
15,2,-4,-4,2,2,2,2,2,2,2,-5,-5,2,2,2,-5,-5
16,1,-4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2
17,2,2,2,2,-5,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,1,-4,2,2,-5,2,1,2,1,1,1,2,2,1,1,1,2
19,1,-4,-4,-4,2,2,2,1,2,2,-5,-5,2,2,2,-5,2
20,1,2,2,2,-5,2,2,2,-5,-5,-5,-5,-5,2,-5,-5,1
21,1,-4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
22,1,-4,2,2,2,2,2,2,-5,-5,1,-5,-5,1,1,1,8
