"R0000100","R1235800","S5421000","S5421100","S5421200","S5421300","S5421400","S5421500","S5421600","S5421700","S5421800","S7522200","S7522300","S7522400","S7522500","S7522600","S7522700","S7522800","S7522900","S7523000","T0022800","T0022900","T0023000","T0023100","T0023200","T0023300","T0023400","T0023500","T2017700","T2017800","T2017900","T2018000","T2018100","T2018200","T2018300","T2018400","T3608100","T3608200","T3608300","T3608400","T3608500","T3608600","T3608700","T3608800","T3608900","T5208500","T5208600","T5208700","T5208800","T5208900","T5209000","T5209100","T5209200","T5209300","T6658700","T6658800","T6658900","T6659000","T6659100","T6659200","T6659300","T6659400","T6659500","T6659600","T6659700","T6659800","T6659900","T8130800","T8130900","T8131000","T8131100","T8131200","T8131300","T8131400","T8131500","T8131600","T8131700","U0010700","U0010800","U0010900","U0011000","U0011100","U0011200","U0011300","U0011400","U0011500","U0011600","U0011700","U0011800"
1,1,2857,-4,-4,-4,-4,-4,-4,-4,-4,2143,-4,-4,-4,-4,-4,-4,-4,-4,2143,2622,-4,-4,-4,-4,-4,-4,2229,-4,-4,-4,-4,-4,-4,-4,2390,-4,-4,-4,-4,-4,-4,-4,-4,2250,-4,-4,-4,-4,-4,-4,-4,-4,2747,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3125,-4,-4,-4,-4,-4,-4,-4,-4,-4,5769,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
2,1,2260,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5288,5055,-4,-4,-4,-4,-4,-4,2308,-4,-4,-4,-4,-4,-4,-4,-4,2798,-4,-4,-4,-4,-4,-4,-4,-4,2885,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4196,-4,-4,-4,-4,-4,-4,-4,-4,-4,3102,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1305,800,-3,1200,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,1,2041,1269,-4,-4,-4,-4,-4,-4,-4,1442,-4,-4,-4,-4,-4,-4,-4,-4,1758,-4,-4,-4,-4,-4,-4,-4,1381,1758,-4,-4,-4,-4,-4,-4,1454,-4,-4,-4,-4,-4,-4,-4,-4,1492,-4,-4,-4,-4,-4,-4,-4,-4,1300,1585,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1472,1350,-4,-4,-4,-4,-4,-4,-4,-4,1685,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
5,1,1300,-4,-4,-4,-4,-4,-4,-4,-4,1200,2400,-4,-4,-4,-4,-4,-4,-4,1150,-4,-4,-4,-4,-4,-4,-4,1125,1600,-4,-4,-4,-4,-4,-4,2400,1000,-4,-4,-4,-4,-4,-4,-4,2845,-4,-4,-4,-4,-4,-4,-4,-4,4167,5556,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3045,-4,-4,-4,-4,-4,-4,-4,-4,-4,2083,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
6,1,1100,-4,-4,-4,-4,-4,-4,-4,-4,1190,-4,-4,-4,-4,-4,-4,-4,-4,1304,-4,-4,-4,-4,-4,-4,-4,1395,-4,-4,-4,-4,-4,-4,-4,1425,-4,-4,-4,-4,-4,-4,-4,-4,1500,-4,-4,-4,-4,-4,-4,-4,-4,1425,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,740,1440,-4,-4,-4,-4,-4,-4,-4,-4,800,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
7,1,600,-4,-4,-4,-4,-4,-4,-4,-4,1000,1000,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1000,900,600,800,-4,-4,-4,-4,-4,1000,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1050,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
8,1,2000,1500,-4,-4,-4,-4,-4,-4,-4,2000,-4,-4,-4,-4,-4,-4,-4,-4,2000,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,1775,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,2885,2500,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,3526,3217,-4,-4,-4,-4,-4,-4,-4,-4,-4
9,1,1700,-4,-4,-4,-4,-4,-4,-4,-4,1584,2000,-4,-4,-4,-4,-4,-4,-4,1695,2500,-4,-4,-4,-4,-4,-4,1700,-4,-4,-4,-4,-4,-4,-4,1620,-4,-4,-4,-4,-4,-4,-4,-4,1698,-4,-4,-4,-4,-4,-4,-4,-4,1385,1900,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1716,-4,-4,-4,-4,-4,-4,-4,-4,-4,1859,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
10,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1200,-4,-4,-4,-4,-4,-4,-4,-4,1650,1250,-4,-4,-4,-4,-4,-4,2000,-4,-4,-4,-4,-4,-4,-4,2000,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1200,-4,-4,-4,-4,-4,-4,-4,-4,1595,1200,-4,-4,-4,-4,-4,-4,1695,-4,-4,-4,-4,-4,-4,-4,1802,-4,-4,-4,-4,-4,-4,-4,-4,1802,-4,-4,-4,-4,-4,-4,-4,-4,1838,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1883,-4,-4,-4,-4,-4,-4,-4,-4,-4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
12,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,1899,5,1500,-4,-4,-4,-4,-4,-4,2500,-3,-4,-4,-4,-4,-4,-4,2500,0,-4,-4,-4,-4,-4,-4,2710,962,-4,-4,-4,-4,-4,-4,-4,2168,-3,-4,-4,-4,-4,-4,-4,-4,2564,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,3500,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
13,1,385,-4,-4,-4,-4,-4,-4,-4,-4,435,385,-4,-4,-4,-4,-4,-4,-4,435,-4,-4,-4,-4,-4,-4,-4,400,435,-4,-4,-4,-4,-4,-4,465,1600,-4,-4,-4,-4,-4,-4,-4,465,-4,-4,-4,-4,-4,-4,-4,-4,500,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,725,500,-4,-4,-4,-4,-4,-4,-4,-4,485,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1600,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
